City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Linxia,CN,35.6003,103.2064,267.27,82,94,0.42
1,Samarai,PG,-10.6167,150.6667,300.91,74,100,2.92
2,Rikitea,PF,-23.1203,-134.9692,299.9,69,33,5.3
3,Vaini,TO,-21.2,-175.2,299.15,89,75,3.09
4,Ushuaia,AR,-54.8,-68.3,280.15,61,75,11.83
5,George,ZA,-33.963,22.4617,292.15,94,75,2.06
6,Mahebourg,MU,-20.4081,57.7,297.15,83,20,3.09
7,Jamestown,US,42.097,-79.2353,275.37,93,90,5.24
8,Jiayuguan,CN,39.8167,98.3,264.97,79,90,1.96
9,Byron Bay,AU,-28.65,153.6167,295.15,94,14,2.69
10,Kaitangata,NZ,-46.2817,169.8464,290.37,66,100,1.77
11,Moron,AR,-34.6534,-58.6198,307.04,51,90,3.6
12,Hilo,US,19.7297,-155.09,297.15,73,90,4.63
13,Barrow,US,71.2906,-156.7887,250.15,77,90,2.57
14,Hermanus,ZA,-34.4187,19.2345,290.93,83,6,2.28
15,Cherskiy,RU,68.75,161.3,235.6,81,97,1.39
16,Port Alfred,ZA,-33.5906,26.891,293.71,95,87,1.34
17,Robertsport,LR,6.7533,-11.3686,299.79,81,0,4.38
18,Thompson,CA,55.7435,-97.8558,253.15,65,40,1.54
19,Katsuura,JP,35.1333,140.3,281.15,87,75,2.57
20,Dikson,RU,73.5069,80.5464,241.89,85,100,2.73
21,Hobart,AU,-42.8794,147.3294,284.82,66,75,5.14
22,Aberdeen,GB,57.1437,-2.0981,274.15,100,75,0.51
23,Alice Town,BS,25.7167,-79.3,296.53,82,0,5.76
24,Punta Arenas,CL,-53.15,-70.9167,283.15,46,20,14.4
25,Trelew,AR,-43.249,-65.3051,297.7,19,98,8.77
26,Ibara,JP,34.6,133.4667,280.37,97,82,1.45
27,Coquimbo,CL,-29.9533,-71.3436,292.15,72,40,5.14
28,Makakilo City,US,21.3469,-158.0858,298.15,69,1,3.6
29,Yellowknife,CA,62.456,-114.3525,248.15,70,75,4.12
30,Diu,IN,20.7141,70.9822,290.5,30,0,4.09
31,Rurrenabaque,BO,-14.4413,-67.5278,300.15,94,75,3.46
32,Nisia Floresta,BR,-6.0911,-35.2086,302.15,70,20,8.23
33,Sisimiut,GL,66.9395,-53.6735,260.49,92,80,2.19
34,Faanui,PF,-16.4833,-151.75,300.51,74,20,7.12
35,Mount Isa,AU,-20.7333,139.5,298.15,83,99,1.03
36,Marawi,PH,7.9986,124.2928,296.48,94,100,1.79
37,Tuktoyaktuk,CA,69.4541,-133.0374,247.15,76,75,5.66
38,Lavrentiya,RU,65.5833,-171.0,253.24,87,65,2.22
39,Kampot,KH,10.6167,104.1833,296.15,94,20,1.03
40,Carutapera,BR,-1.195,-46.02,300.33,77,28,3.11
41,Bonthe,SL,7.5264,-12.505,299.29,79,0,4.12
42,Porto Belo,BR,-27.1578,-48.5531,300.37,78,75,4.63
43,Rocha,UY,-34.4833,-54.3333,303.74,45,23,4.96
44,Nagato,JP,34.3833,131.2,283.15,81,75,4.63
45,Atambua,ID,-9.1061,124.8925,296.69,90,99,1.55
46,Albany,US,42.6001,-73.9662,270.37,74,100,3.51
47,Torbay,CA,47.6666,-52.7314,274.26,100,90,8.75
48,Baiyin,CN,36.5583,104.2081,268.71,72,0,4.0
49,Cape Town,ZA,-33.9258,18.4232,293.71,77,20,8.75
50,Pevek,RU,69.7008,170.3133,238.47,85,45,1.25
51,Kapaa,US,22.0752,-159.319,298.15,83,90,8.75
52,Bredasdorp,ZA,-34.5322,20.0403,290.15,77,2,0.51
53,Busselton,AU,-33.65,115.3333,285.93,94,48,5.2
54,Bonfim,BR,3.0833,-59.95,306.25,40,44,5.61
55,College,US,64.8569,-147.8028,246.48,69,40,1.54
56,Caravelas,BR,-17.7125,-39.2481,298.96,75,100,3.23
57,Acarau,BR,-2.8856,-40.12,301.21,73,100,7.4
58,Tecoanapa,MX,16.5167,-98.75,301.77,54,0,4.86
59,Camabatela,AO,-8.1881,15.375,291.31,97,99,0.76
60,Banda Aceh,ID,5.5577,95.3222,298.82,78,64,1.29
61,Ostrovnoy,RU,68.0531,39.5131,259.32,94,100,8.14
62,Vanimo,PG,-2.6741,141.3028,298.74,83,100,2.13
63,Bluff,NZ,-46.6,168.3333,294.82,55,100,5.36
64,Ribeira Grande,PT,38.5167,-28.7,291.15,88,75,8.75
65,Pedernales,DO,18.0384,-71.744,302.15,52,67,0.74
66,Pisco,PE,-13.7,-76.2167,299.15,57,4,12.35
67,Alice Springs,AU,-23.7,133.8833,298.15,88,90,2.06
68,Yaan,NG,7.3833,8.5667,302.05,15,99,1.34
69,Esperance,AU,-33.8667,121.9,289.15,82,100,6.17
70,Guerrero Negro,MX,27.9769,-114.0611,289.69,46,0,8.58
