City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Linxia,CN,267.27,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
1,Samarai,PG,300.91,-10.6167,150.6667,Nuli Sapi
2,Rikitea,PF,299.9,-23.1203,-134.9692,Pension Maro'i
3,Vaini,TO,299.15,-21.2,-175.2,Keleti Beach Resort
4,Ushuaia,AR,280.15,-54.8,-68.3,Albatros Hotel
5,George,ZA,292.15,-33.963,22.4617,Protea Hotel by Marriott George King George
6,Mahebourg,MU,297.15,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
7,Jamestown,US,275.37,42.097,-79.2353,Hampton Inn & Suites Jamestown
8,Jiayuguan,CN,264.97,39.8167,98.3,Jiugang Hotel - Jiayuguan
9,Byron Bay,AU,295.15,-28.65,153.6167,Backpackers Inn on the Beach
10,Kaitangata,NZ,290.37,-46.2817,169.8464,Kaitangata Motor Camp
11,Moron,AR,307.04,-34.6534,-58.6198,Hotel Morón
12,Hilo,US,297.15,19.7297,-155.09,Hilo Hawaiian Hotel
13,Barrow,US,250.15,71.2906,-156.7887,King Eider Inn
14,Hermanus,ZA,290.93,-34.4187,19.2345,Misty Waves Boutique Hotel
15,Cherskiy,RU,235.6,68.75,161.3,Gostinitsa
16,Port Alfred,ZA,293.71,-33.5906,26.891,The Halyards Hotel
17,Robertsport,LR,299.79,6.7533,-11.3686,Kwepunha Retreat
18,Thompson,CA,253.15,55.7435,-97.8558,Burntwood Hotel
19,Katsuura,JP,281.15,35.1333,140.3,Katsuura Hotel Mikazuki
20,Dikson,RU,241.89,73.5069,80.5464,
21,Hobart,AU,284.82,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
22,Aberdeen,GB,274.15,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
23,Alice Town,BS,296.53,25.7167,-79.3,Bimini Big Game Club Resort & Marina
24,Punta Arenas,CL,283.15,-53.15,-70.9167,Hotel Dreams Del Estrecho
25,Trelew,AR,297.7,-43.248999999999995,-65.3051,Hotel Touring Club
26,Ibara,JP,280.37,34.6,133.4667,Guest House Matsuri
27,Coquimbo,CL,292.15,-29.9533,-71.3436,Hotel San Juan
28,Makakilo City,US,298.15,21.3469,-158.0858,Marriott's Ko Olina Beach Club
29,Yellowknife,CA,248.15,62.456,-114.3525,The Explorer Hotel
30,Diu,IN,290.5,20.7141,70.9822,Hotel Relax Inn
31,Rurrenabaque,BO,300.15,-14.4413,-67.5278,Casa de Campo
32,Nisia Floresta,BR,302.15,-6.0911,-35.2086,Rancho Crepusculo
33,Sisimiut,GL,260.49,66.9395,-53.6735,Hotel Sisimiut
34,Faanui,PF,300.51,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
35,Mount Isa,AU,298.15,-20.7333,139.5,ibis Styles Mt Isa Verona
36,Marawi,PH,296.48,7.9986,124.2928,Derogongan Residence
