City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bystrzyca Klodzka,PL,50.3018,16.6423,277.59,72,97,1.34
1,Ahipara,NZ,-35.1667,173.1667,293.05,66,71,1.76
2,Vanimo,PG,-2.6741,141.3028,302.24,74,100,5.08
3,Vaini,TO,-21.2,-175.2,300.15,89,90,8.6
4,Mataura,NZ,-46.1927,168.8643,294.25,37,0,0.55
5,Terrak,NO,65.087,12.3715,271.15,74,90,3.09
6,Bredasdorp,ZA,-34.5322,20.0403,289.26,92,93,1.8
7,Busselton,AU,-33.65,115.3333,299.82,48,0,1.79
8,Tura,IN,25.5198,90.2201,291.62,37,0,1.13
9,Fortuna,US,40.5982,-124.1573,282.04,81,90,2.57
10,Albany,US,42.6001,-73.9662,261.48,50,6,2.68
11,Norman Wells,CA,65.282,-126.8329,236.15,67,40,2.06
12,Beringovskiy,RU,63.05,179.3167,245.89,83,0,4.31
13,Sitka,US,57.0531,-135.33,276.15,56,90,4.63
14,Taperoa,BR,-7.2075,-36.8267,295.47,81,100,6.13
15,Arraial Do Cabo,BR,-22.9661,-42.0278,298.2,83,96,11.52
16,Komsomolskiy,UZ,40.4272,71.7189,270.15,59,41,3.09
17,Poum,NC,-20.2333,164.0167,300.4,72,15,4.25
18,Sladkovo,RU,55.5284,70.3385,260.03,94,58,3.07
19,Ilulissat,GL,69.2167,-51.1,255.15,55,0,2.06
20,Hermanus,ZA,-34.4187,19.2345,289.26,92,72,1.47
21,Odweyne,SO,9.4092,45.064,289.36,58,0,3.06
22,Souillac,MU,-20.5167,57.5167,299.15,89,75,2.06
23,Saint-Philippe,RE,-21.3585,55.7679,298.15,61,0,3.09
24,Chicama,PE,-7.8447,-79.1469,296.07,69,88,2.86
25,Matara,LK,5.9485,80.5353,299.36,80,35,0.88
26,Nikolskoye,RU,59.7035,30.7861,272.15,93,90,4.0
27,Walvis Bay,NA,-22.9575,14.5053,292.59,82,16,4.12
28,Ust-Ilimsk,RU,58.0006,102.6619,238.73,80,97,2.71
29,Hobart,AU,-42.8794,147.3294,295.37,64,75,4.63
30,Rikitea,PF,-23.1203,-134.9692,300.08,70,31,4.05
31,Port Shepstone,ZA,-30.7414,30.455,295.06,86,18,2.01
32,Cap Malheureux,MU,-19.9842,57.6142,299.82,82,1,1.34
33,Nantucket,US,41.2835,-70.0995,267.15,73,90,11.32
34,Altay,CN,47.8667,88.1167,258.61,77,20,0.69
35,Hirara,JP,24.8,125.2833,291.15,55,40,3.6
36,Sao Filipe,CV,14.8961,-24.4956,296.84,55,97,4.37
37,Kapaa,US,22.0752,-159.319,297.15,73,75,7.2
38,Canon City,US,38.441,-105.2424,279.15,36,1,4.63
39,Touros,BR,-5.1989,-35.4608,299.15,78,20,1.54
40,Narsaq,GL,60.9167,-46.05,280.15,29,75,13.89
41,Bambous Virieux,MU,-20.3428,57.7575,299.82,89,75,2.06
42,Cidreira,BR,-30.1811,-50.2056,297.13,89,39,2.2
43,Bagua Grande,PE,-5.7561,-78.4411,297.23,67,92,1.81
44,Tuatapere,NZ,-46.1333,167.6833,291.88,47,0,2.89
45,Kastamonu,TR,41.5,33.6667,270.25,86,85,1.27
46,Nan,TH,18.8333,100.6667,295.15,73,0,1.03
47,Ponta Delgada,PT,37.7333,-25.6667,288.15,94,20,4.63
48,Coihaique,CL,-45.5752,-72.0662,281.15,76,0,1.03
49,East London,ZA,-33.0153,27.9116,293.63,74,12,1.49
50,Castro,BR,-24.7911,-50.0119,291.02,95,100,1.63
51,Edinburg,GB,55.9521,-3.1965,275.15,93,75,4.63
52,Hilo,US,19.7297,-155.09,296.15,88,90,1.54
53,Aviemore,GB,57.1955,-3.8259,273.71,93,40,1.5
54,Dikson,RU,73.5069,80.5464,236.86,84,99,3.63
55,Bluff,NZ,-46.6,168.3333,285.51,74,0,6.75
56,Atuona,PF,-9.8,-139.0333,298.96,80,11,7.75
57,Mayahi,NE,13.9553,7.6712,290.62,25,13,5.92
58,Fare,PF,-16.7,-151.0167,300.27,66,86,1.15
59,Moron,AR,-34.6534,-58.6198,298.71,77,0,1.67
60,Thompson,CA,55.7435,-97.8558,261.15,85,90,2.57
61,Hamilton,US,39.1834,-84.5333,270.93,68,1,1.54
62,Shingu,JP,33.7333,135.9833,279.15,52,40,7.72
63,Pringsewu,ID,-5.3582,104.9744,300.93,73,51,2.9
64,Bayburt,TR,40.2589,40.2278,265.17,95,85,0.87
65,Kant,IN,27.8,79.8,282.32,52,0,3.6
66,Cape Town,ZA,-33.9258,18.4232,294.26,88,40,2.06
67,Maralal,KE,1.0968,36.698,287.15,74,42,3.01
68,Howard Springs,AU,-12.497,131.047,298.71,94,75,6.17
69,Bumba,CD,2.1833,22.4667,294.8,92,76,0.73
70,Campbeltown,GB,55.4258,-5.6076,276.15,81,20,11.83
71,Lazaro Cardenas,MX,17.9583,-102.2,297.81,75,100,1.14
72,New Norfolk,AU,-42.7826,147.0587,294.15,64,75,4.63
73,Kirakira,SB,-10.4544,161.9205,301.95,77,100,4.49
74,Port Elizabeth,ZA,-33.918,25.5701,288.15,82,0,1.54
75,Marsh Harbour,BS,26.5412,-77.0636,291.61,64,86,6.39
76,Namatanai,PG,-3.6667,152.4333,302.72,73,31,6.21
77,Grand Gaube,MU,-20.0064,57.6608,299.82,82,1,1.34
78,Ribeira Grande,PT,38.5167,-28.7,289.3,82,91,11.27
79,Shelburne,CA,44.0787,-80.2041,267.15,85,90,2.06
80,Port Alfred,ZA,-33.5906,26.891,290.93,86,6,0.89
81,Iqaluit,CA,63.7506,-68.5145,248.15,70,1,10.29
82,Longyearbyen,SJ,78.2186,15.6401,255.15,50,20,8.75
83,Kaitangata,NZ,-46.2817,169.8464,287.59,72,24,4.92
84,Ushuaia,AR,-54.8,-68.3,279.15,75,75,7.72
85,Constitucion,CL,-35.3333,-72.4167,289.51,95,100,3.62
86,Launceston,AU,-41.45,147.1667,296.48,64,61,7.72
87,Avarua,CK,-21.2078,-159.775,302.15,70,3,2.57
88,Lanzhou,CN,36.0564,103.7922,273.71,88,100,0.45
89,Saskylakh,RU,71.9167,114.0833,233.93,76,0,1.08
90,Bireun,ID,5.203,96.7009,300.22,73,100,3.14
91,Bethel,US,41.3712,-73.414,263.15,52,1,3.6
92,Victoria,HK,22.2855,114.1577,292.04,65,0,1.34
93,Saint-Pierre,RE,-21.3393,55.4781,298.15,61,0,3.09
94,Karpathos,GR,35.507,27.2132,289.15,82,91,7.72
95,Carnarvon,AU,-24.8667,113.6333,312.15,27,0,9.77
96,Lavrentiya,RU,65.5833,-171.0,245.21,81,0,4.35
97,Saint George,US,37.1041,-113.5841,280.15,65,75,3.09
98,Kavaratti,IN,10.5669,72.642,299.95,73,2,5.23
99,Saint-Francois,FR,46.4154,3.9054,281.48,87,0,1.54
100,Lebu,CL,-37.6167,-73.65,287.06,90,96,2.71
101,Butaritari,KI,3.0707,172.7902,300.07,78,99,6.88
102,Abu Dhabi,AE,24.4667,54.3667,292.15,52,0,2.06
103,Esperance,AU,-33.8667,121.9,295.15,46,0,4.63
104,Zunyi,CN,27.6867,106.9072,279.22,71,100,1.53
105,Sompeta,IN,18.9333,84.6,298.03,63,5,0.36
106,Mabaruma,GY,8.2,-59.7833,296.2,90,24,1.79
107,Kaduqli,SD,11.0167,29.7167,293.4,22,0,7.78
108,Naze,JP,28.3667,129.4833,289.15,48,40,7.2
109,Beira,MZ,-19.8436,34.8389,300.15,83,20,2.06
110,Khatanga,RU,71.9667,102.5,231.33,75,0,1.45
111,Lagoa,PT,39.05,-27.9833,288.54,82,97,8.53
112,Takoradi,GH,4.8845,-1.7554,298.81,81,10,2.89
113,Olafsvik,IS,64.8945,-23.7142,271.68,97,100,8.23
114,Qaanaaq,GL,77.484,-69.3632,247.72,62,0,2.37
115,Tasiilaq,GL,65.6145,-37.6368,264.15,53,90,11.32
116,Puerto Ayora,EC,-0.7393,-90.3518,298.71,91,44,2.68
117,Baley,RU,51.6,116.6333,245.25,84,60,0.61
118,Nioro,GM,13.35,-15.75,294.08,19,0,2.25
119,Rio Grande,BR,-32.035,-52.0986,297.59,92,34,1.76
120,Santa Maria,BR,-29.6842,-53.8069,297.15,83,0,4.12
121,Orlik,RU,52.5178,99.825,258.56,88,83,1.83
122,Nanortalik,GL,60.1432,-45.2371,273.01,92,96,3.59
123,Mount Isa,AU,-20.7333,139.5,311.15,23,73,4.63
124,Kotdwara,IN,29.75,78.5333,285.64,38,0,1.61
125,Albesti-Paleologu,RO,44.95,26.2167,273.15,100,100,1.03
126,Novochernorechenskiy,RU,56.2669,91.0828,247.73,88,100,4.0
127,Biloela,AU,-24.4167,150.5,304.94,41,58,3.53
128,Port Hardy,CA,50.6996,-127.4199,279.15,87,90,9.26
129,Westport,US,41.1415,-73.3579,266.15,45,1,6.69
130,Riyadh,SA,24.6877,46.7219,290.15,25,52,4.63
131,Avera,US,33.194,-82.5271,275.15,80,1,1.8
132,Vidim,RU,56.4088,103.1106,244.27,86,100,2.45
133,Vardo,NO,70.3705,31.1107,269.75,97,100,8.82
134,Talnakh,RU,69.4865,88.3972,237.8,65,3,1.34
135,Tashtagol,RU,52.7657,87.8894,265.66,95,100,4.82
136,East Patchogue,US,40.767,-72.9962,266.48,45,20,8.23
137,Bagdarin,RU,54.4333,113.6,242.89,79,45,0.72
138,Punta Arenas,CL,-53.15,-70.9167,281.15,81,90,8.75
139,Humaita,BR,-7.5061,-63.0208,296.53,96,100,1.24
140,Tuktoyaktuk,CA,69.4541,-133.0374,235.15,67,1,1.03
141,Grindavik,IS,63.8424,-22.4338,274.15,80,75,1.54
142,Batetskiy,RU,58.6461,30.3027,268.89,99,100,1.96
143,Jalu,LY,29.0331,21.5482,285.28,71,0,4.41
144,Pemba,MZ,-12.974,40.5178,299.15,89,75,3.09
145,Soledade,BR,-28.8183,-52.5103,292.24,100,26,2.21
146,Huarmey,PE,-10.0681,-78.1522,294.87,74,95,3.35
147,Chesma,RU,53.8111,60.6533,260.92,96,100,2.7
148,Chifeng,CN,42.2683,118.9636,259.62,87,0,1.52
149,Russkaya Polyana,UA,49.417,31.9201,268.91,95,72,2.01
150,Chuy,UY,-33.6971,-53.4616,293.1,93,0,0.67
151,Arandis,NA,-22.4167,14.9667,292.59,81,39,2.74
152,Vestmannaeyjar,IS,63.4427,-20.2734,274.95,82,100,3.41
153,Virginia Beach,US,36.8529,-75.978,273.15,43,1,5.14
154,Krupanj,RS,44.3656,19.3619,277.15,100,40,0.51
155,Dingle,PH,10.9995,122.6711,298.11,85,100,7.61
156,Lasa,IT,46.6166,10.7002,273.15,93,90,1.54
157,Port Lincoln,AU,-34.7333,135.8667,292.96,54,27,5.97
158,Vila Velha,BR,-20.3297,-40.2925,299.15,78,40,2.57
159,Qufu,CN,35.5967,116.9911,281.47,50,69,1.34
160,Aykhal,RU,66.0,111.5,235.26,80,100,3.48
161,Tecoanapa,MX,16.5167,-98.75,298.28,77,98,1.46
162,Tingo Maria,PE,-9.2895,-76.0088,294.48,84,100,0.85
163,Clyde River,CA,70.4692,-68.5914,244.15,83,1,2.06
164,Mut,TR,36.6439,33.4389,276.42,65,61,0.21
165,Grafton,US,42.207,-71.6856,262.59,56,1,8.75
166,Tagusao,PH,9.1924,117.8141,301.08,70,70,5.22
167,Faanui,PF,-16.4833,-151.75,300.37,67,100,1.83
168,Qingdao,CN,36.0986,120.3719,282.15,46,0,1.0
169,Griffith,US,41.5284,-87.4237,272.15,69,1,2.57
170,Seoul,KR,37.5683,126.9778,273.15,64,20,2.57
171,Jamestown,US,42.097,-79.2353,265.93,79,90,6.17
172,Malindi,KE,-3.2175,40.1191,298.07,86,34,3.11
173,Vangaindrano,MG,-23.35,47.6,297.04,91,1,1.54
174,Itoman,JP,26.1247,127.6694,290.15,48,20,3.6
175,Saint-Augustin,CA,51.226,-58.6502,262.79,91,29,5.26
176,Lakes Entrance,AU,-37.8811,147.981,293.15,89,71,0.45
177,Vostok,RU,46.4856,135.8833,252.38,87,99,1.83
178,Erzin,TR,36.9559,36.2,279.26,75,0,5.81
179,Ostrovnoy,RU,68.0531,39.5131,260.05,94,100,7.57
180,Port Hedland,AU,-20.3167,118.5667,308.15,41,40,4.12
181,San Ignacio,BZ,17.1561,-89.0714,296.15,88,90,2.06
182,Ulaanbaatar,MN,47.9077,106.8832,254.15,71,40,3.32
183,Bulgan,MN,48.8125,103.5347,264.36,89,14,2.94
184,Flinders,AU,-34.5833,150.8552,299.82,81,85,1.79
185,Chokurdakh,RU,70.6333,147.9167,240.46,85,100,3.97
186,Half Moon Bay,US,37.4636,-122.4286,283.71,87,90,1.54
187,Yellowknife,CA,62.456,-114.3525,245.37,76,1,4.12
188,Georgetown,MY,5.4112,100.3354,301.48,65,20,3.6
189,Bubaque,GW,11.2833,-15.8333,298.87,66,0,4.54
190,Vila Do Maio,CV,15.1333,-23.2167,295.15,64,0,7.2
191,Provideniya,RU,64.3833,-173.3,251.23,81,3,1.93
192,Baykit,RU,61.67,96.37,233.67,75,94,2.01
193,Forbes,AU,-33.3833,148.0167,304.97,34,67,4.45
194,Kulhudhuffushi,MV,6.6221,73.07,300.04,69,0,3.98
195,Anadyr,RU,64.75,177.4833,244.26,76,0,4.0
196,Mahebourg,MU,-20.4081,57.7,299.15,89,75,2.06
197,Caravelas,BR,-17.7125,-39.2481,297.23,88,0,2.59
198,Chaozhou,CN,23.6651,116.6379,287.15,58,0,2.0
199,Shiyan,CN,32.6475,110.7781,283.15,85,39,5.36
200,Mitsamiouli,KM,-11.3847,43.2844,300.96,73,80,4.42
201,Vila Franca Do Campo,PT,37.7167,-25.4333,288.15,94,20,4.63
202,Trencin,SK,48.8333,18.25,275.93,95,98,0.45
203,Shu,KZ,43.5983,73.7614,265.48,83,0,0.54
204,Geraldton,AU,-28.7667,114.6,309.15,17,0,9.26
205,Purpe,RU,64.4803,76.6897,232.35,81,16,1.75
206,Hay River,CA,60.8156,-115.7999,244.15,76,2,0.51
207,Labuhan,ID,-6.8844,112.2051,299.41,86,100,7.42
208,Kavieng,PG,-2.5744,150.7967,302.21,76,100,6.49
209,Bose,IT,45.4612,8.0137,280.93,65,0,1.93
210,Zhezkazgan,KZ,47.8043,67.7144,263.0,93,100,5.53
211,Port Macquarie,AU,-31.4333,152.9167,300.93,64,94,0.89
212,Cayenne,GF,4.9333,-52.3333,298.15,100,75,4.12
213,Okha,RU,53.5739,142.9478,255.05,87,100,5.17
214,Kita,ML,13.0349,-9.4895,293.93,20,0,2.14
